planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,bus_agg_service_info,bus_agg_safety,bus_agg_comfort,bus_agg_convenience,bus_agg_customer_service
WOODLANDS,perceived_overall_quality_score,0.17,-0.03,-0.02,1.0,0.67,0.45,0.59,0.09,-0.24,-0.02,0.0,0.5
WOODLANDS,perceived_value_score,-0.01,-0.54,0.08,0.67,1.0,0.23,0.61,0.33,0.25,0.16,0.25,0.43
WOODLANDS,customer_satisfaction_score,-0.33,-0.35,-0.25,0.45,0.23,1.0,0.52,0.31,0.37,0.45,0.69,0.43
WOODLANDS,customer_loyalty‎_user_trust_score,-0.13,-0.09,-0.27,0.59,0.61,0.52,1.0,0.59,0.25,0.51,0.47,0.79
WOODLANDS,bus_agg_service_info,-0.43,-0.29,0.27,0.09,0.33,0.31,0.59,1.0,0.39,0.58,0.8,0.79
WOODLANDS,bus_agg_safety,-0.01,-0.5,-0.06,-0.24,0.25,0.37,0.25,0.39,1.0,0.74,0.67,0.03
WOODLANDS,bus_agg_comfort,-0.07,-0.03,-0.37,-0.02,0.16,0.45,0.51,0.58,0.74,1.0,0.7,0.24
WOODLANDS,bus_agg_convenience,-0.58,-0.55,0.02,0.0,0.25,0.69,0.47,0.8,0.67,0.7,1.0,0.53
WOODLANDS,bus_agg_customer_service,-0.28,-0.16,0.27,0.5,0.43,0.43,0.79,0.79,0.03,0.24,0.53,1.0
YISHUN,year,1.0,0.0,0.0,0.87,,0.0,-0.87,0.0,0.5,0.0,0.0,0.0
YISHUN,weight_of_market_share,0.0,1.0,-1.0,-0.5,,-1.0,-0.5,-1.0,-0.87,-1.0,-1.0,-1.0
YISHUN,customer_expectations_score,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
YISHUN,perceived_overall_quality_score,0.87,-0.5,0.5,1.0,,0.5,-0.5,0.5,0.87,0.5,0.5,0.5
YISHUN,customer_satisfaction_score,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
YISHUN,customer_loyalty‎_user_trust_score,-0.87,-0.5,0.5,-0.5,,0.5,1.0,0.5,0.0,0.5,0.5,0.5
YISHUN,bus_agg_service_info,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
YISHUN,bus_agg_safety,0.5,-0.87,0.87,0.87,,0.87,0.0,0.87,1.0,0.87,0.87,0.87
YISHUN,bus_agg_comfort,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
YISHUN,bus_agg_convenience,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
YISHUN,bus_agg_customer_service,0.0,-1.0,1.0,0.5,,1.0,0.5,1.0,0.87,1.0,1.0,1.0
